date,tqqq_weight,sqqq_weight,cash_weight,regime,ndx_close,ext_sma20,ext_sma250,rsi,active_strategies,strategy_details
2025-12-31,0.3432,0,0.6568,STRONG UPTREND,25249.85,-0.72,11.93,48.0,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.7%"
2026-01-02,0.3619,0,0.6381,STRONG UPTREND,25206.17,-0.81,11.66,47.1,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.8%"
2026-01-05,0.2012,0,0.7988,STRONG UPTREND,25401.32,-0.01,12.44,51.5,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.0%"
2026-01-06,0.195,0,0.805,STRONG UPTREND,25639.71,0.94,13.41,56.3,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.9%"
2026-01-07,0.195,0,0.805,STRONG UPTREND,25653.9,0.99,13.39,56.5,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=1.0%"
2026-01-08,0.195,0,0.805,STRONG UPTREND,25507.1,0.45,12.65,52.9,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.4%"
2026-01-09,0.075,0,0.925,STRONG UPTREND,25766.26,1.47,13.7,58.0,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-12,0.075,0,0.925,STRONG UPTREND,25787.66,1.53,13.69,58.5,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-13,0.075,0,0.925,STRONG UPTREND,25741.95,1.25,13.39,57.2,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-14,0.195,0,0.805,STRONG UPTREND,25465.94,0.08,12.09,50.1,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.1%"
2026-01-15,0.195,0,0.805,STRONG UPTREND,25547.07,0.32,12.36,52.0,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.3%"
2026-01-16,0.195,0,0.805,STRONG UPTREND,25529.26,0.08,12.2,51.5,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.1%"
2026-01-20,0.12,0,0.88,STRONG UPTREND,24987.57,-2.04,9.75,39.9,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: deep pullback below lower BB, ext=-2.0%"
2026-01-21,0.3418,0,0.6582,STRONG UPTREND,25326.58,-0.71,11.17,47.8,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.7%"
2026-01-22,0.195,0,0.805,STRONG UPTREND,25518.35,0.03,11.95,51.7,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.0%"
2026-01-23,0.195,0,0.805,STRONG UPTREND,25605.47,0.37,12.25,53.4,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.4%"
2026-01-26,0.195,0,0.805,STRONG UPTREND,25713.21,0.78,12.63,55.5,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.8%"
2026-01-27,0.075,0,0.925,STRONG UPTREND,25939.74,1.61,13.54,59.6,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-28,0.075,0,0.925,STRONG UPTREND,26022.79,1.84,13.81,61.0,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-29,0.075,0,0.925,STRONG UPTREND,25884.3,1.21,13.12,57.4,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-30,0.2293,0,0.7707,STRONG UPTREND,25552.39,-0.15,11.59,49.8,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.1%"
2026-02-02,0.195,0,0.805,STRONG UPTREND,25738.61,0.48,12.31,53.5,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.5%"
2026-02-03,0.08,0,0.92,STRONG UPTREND,25338.62,-1.07,10.49,45.7,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.1%"
2026-02-04,0.12,0,0.88,STRONG UPTREND,24891.24,-2.68,8.48,38.8,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: deep pullback below lower BB, ext=-2.7%"
2026-02-05,0.1523,0,0.8477,STRONG UPTREND,24548.69,-3.81,6.94,34.6,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: deep pullback below lower BB, ext=-3.8%"
2026-02-06,0.08,0,0.92,STRONG UPTREND,25075.77,-1.66,9.17,44.7,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.7%"
2026-02-09,0.3618,0,0.6382,STRONG UPTREND,25268.14,-0.81,9.94,47.8,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.8%"
2026-02-10,0.08,0,0.92,STRONG UPTREND,25127.64,-1.23,9.26,45.8,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.2%"
2026-02-11,0.3675,0,0.6325,STRONG UPTREND,25201.26,-0.84,9.51,47.0,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.8%"
2026-02-12,0.08,0,0.92,STRONG UPTREND,24687.61,-2.71,7.23,39.9,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-2.7%"
2026-02-13,0.08,0,0.92,STRONG UPTREND,24732.73,-2.38,7.38,40.8,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-2.4%"
2026-02-17,0.08,0,0.92,STRONG UPTREND,24701.6,-2.34,7.2,40.4,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-2.3%"
2026-02-18,0.08,0,0.92,STRONG UPTREND,24898.87,-1.54,8.0,44.3,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.5%"
2026-02-19,0.08,0,0.92,STRONG UPTREND,24797.34,-1.84,7.51,42.7,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.8%"
2026-02-20,0.3778,0,0.6222,STRONG UPTREND,25012.62,-0.89,8.38,47.0,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.9%"
2026-02-23,0.08,0,0.92,STRONG UPTREND,24708.94,-1.92,7.0,42.2,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.9%"
2026-02-24,0.3417,0,0.6583,STRONG UPTREND,24977.04,-0.71,8.09,47.3,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.7%"
2026-02-25,0.195,0,0.805,STRONG UPTREND,25329.04,0.81,9.53,53.2,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.8%"
2026-02-26,0.2327,0,0.7673,STRONG UPTREND,25034.37,-0.16,8.17,48.3,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.2%"
2026-02-27,0.2552,0,0.7448,STRONG UPTREND,24960.04,-0.28,7.78,47.2,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.3%"
2026-03-02,0.2068,0,0.7932,STRONG UPTREND,24992.6,-0.03,7.83,47.8,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.0%"
2026-03-03,0.3845,0,0.6155,STRONG UPTREND,24720.08,-0.92,6.58,43.4,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.9%"
2026-03-04,0.195,0,0.805,STRONG UPTREND,25093.68,0.62,8.1,50.1,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.6%"
2026-03-05,0.195,0,0.805,STRONG UPTREND,25020.41,0.3,7.7,48.9,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.3%"
2026-03-06,0.08,0,0.92,STRONG UPTREND,24643.02,-1.23,5.99,43.0,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.2%"
