date,equity,cash,tqqq_value,sqqq_value,tqqq_alloc,sqqq_alloc,cash_alloc,ndx_close,sma20,sma250,ext_sma20,ext_sma250,rsi,regime,active_strategies,strategy_details
2025-12-31,100000.0,65680.0,34320.0,0.0,34.3,0,65.7,25249.85,25431.91,22557.85,-0.72,11.93,48.0,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.7%"
2026-01-02,98830.34,65680.0,33150.34,0.0,36.2,0,63.8,25206.17,25411.89,22574.77,-0.81,11.66,47.1,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.8%"
2026-01-05,99807.47,79763.54,20043.93,0.0,20.1,0,79.9,25401.32,25402.87,22591.08,-0.01,12.44,51.5,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.0%"
2026-01-06,100222.89,79763.54,20459.35,0.0,19.5,0,80.5,25639.71,25400.26,22607.4,0.94,13.41,56.3,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.9%"
2026-01-07,100282.39,79763.54,20518.85,0.0,19.5,0,80.5,25653.9,25401.55,22625.32,0.99,13.39,56.5,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=1.0%"
2026-01-08,99917.91,79763.54,20154.37,0.0,19.5,0,80.5,25507.1,25393.47,22642.62,0.45,12.65,52.9,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.4%"
2026-01-09,100060.24,92522.61,7537.64,0.0,7.5,0,92.5,25766.26,25392.96,22662.3,1.47,13.7,58.0,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-12,100242.19,92522.61,7719.58,0.0,7.5,0,92.5,25787.66,25398.01,22682.31,1.53,13.69,58.5,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-13,100202.14,92522.61,7679.53,0.0,7.5,0,92.5,25741.95,25425.27,22702.25,1.25,13.39,57.2,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-14,100212.89,80721.14,19491.74,0.0,19.5,0,80.5,25465.94,25445.21,22719.16,0.08,12.09,50.1,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.1%"
2026-01-15,99758.54,80721.14,19037.4,0.0,19.5,0,80.5,25547.07,25465.91,22736.98,0.32,12.36,52.0,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.3%"
2026-01-16,99674.52,80721.14,18953.38,0.0,19.5,0,80.5,25529.26,25510.0,22753.34,0.08,12.2,51.5,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.1%"
2026-01-20,98590.83,86773.15,11817.69,0.0,12.0,0,88.0,24987.57,25508.41,22767.02,-2.04,9.75,39.9,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: deep pullback below lower BB, ext=-2.0%"
2026-01-21,99355.47,65523.74,33831.73,0.0,34.2,0,65.8,25326.58,25507.43,22780.92,-0.71,11.17,47.8,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.7%"
2026-01-22,98867.45,79547.41,19320.04,0.0,19.5,0,80.5,25518.35,25510.26,22795.39,0.03,11.95,51.7,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.0%"
2026-01-23,99162.06,79547.41,19614.65,0.0,19.5,0,80.5,25605.47,25511.14,22810.71,0.37,12.25,53.4,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.4%"
2026-01-26,99414.55,79547.41,19867.14,0.0,19.5,0,80.5,25713.21,25513.99,22829.05,0.78,12.63,55.5,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.8%"
2026-01-27,100349.17,92853.58,7495.59,0.0,7.5,0,92.5,25939.74,25528.76,22846.96,1.61,13.54,59.6,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-28,100269.73,92853.58,7416.16,0.0,7.5,0,92.5,26022.79,25553.62,22865.41,1.84,13.81,61.0,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-29,100137.16,92853.58,7283.58,0.0,7.5,0,92.5,25884.3,25574.71,22882.91,1.21,13.12,57.4,STRONG UPTREND,Momentum Long,"Momentum Long: Momentum: holding above SMA20, reduced size"
2026-01-30,99766.3,76865.65,22900.65,0.0,22.9,0,77.1,25552.39,25589.84,22899.21,-0.15,11.59,49.8,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.1%"
2026-02-02,100590.17,76865.65,23724.52,0.0,19.5,0,80.5,25738.61,25616.46,22916.97,0.48,12.31,53.5,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.5%"
2026-02-03,99304.45,91346.1,7958.34,0.0,8.0,0,92.0,25338.62,25613.32,22932.06,-1.07,10.49,45.7,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.1%"
2026-02-04,98944.98,91346.1,7598.87,0.0,12.0,0,88.0,24891.24,25575.9,22944.99,-2.68,8.48,38.8,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: deep pullback below lower BB, ext=-2.7%"
2026-02-05,98731.82,83711.81,15020.01,0.0,15.2,0,84.8,24548.69,25520.64,22956.09,-3.81,6.94,34.6,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: deep pullback below lower BB, ext=-3.8%"
2026-02-06,99250.71,91296.86,7953.85,0.0,8.0,0,92.0,25075.77,25499.07,22970.43,-1.66,9.17,44.7,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.7%"
2026-02-09,99562.44,63555.47,36006.97,0.0,36.2,0,63.8,25268.14,25474.17,22984.47,-0.81,9.94,47.8,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.8%"
2026-02-10,99692.56,91781.64,7910.93,0.0,8.0,0,92.0,25127.64,25441.17,22998.21,-1.23,9.26,45.8,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.2%"
2026-02-11,99638.29,63044.95,36593.35,0.0,36.8,0,63.2,25201.26,25414.13,23012.14,-0.84,9.51,47.0,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.8%"
2026-02-12,97025.81,89256.17,7769.64,0.0,8.0,0,92.0,24687.61,25375.22,23022.77,-2.71,7.23,39.9,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-2.7%"
2026-02-13,97081.36,89256.17,7825.19,0.0,8.0,0,92.0,24732.73,25334.5,23033.24,-2.38,7.38,40.8,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-2.4%"
2026-02-17,97061.98,89256.17,7805.81,0.0,8.0,0,92.0,24701.6,25293.12,23043.39,-2.34,7.2,40.4,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-2.3%"
2026-02-18,97229.89,89256.17,7973.71,0.0,8.0,0,92.0,24898.87,25288.68,23054.28,-1.54,8.0,44.3,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.5%"
2026-02-19,97139.48,89256.17,7883.31,0.0,8.0,0,92.0,24797.34,25262.22,23065.2,-1.84,7.51,42.7,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.8%"
2026-02-20,97256.49,60482.17,36774.32,0.0,37.8,0,62.2,25012.62,25236.93,23078.79,-0.89,8.38,47.0,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.9%"
2026-02-23,96418.67,88716.21,7702.46,0.0,8.0,0,92.0,24708.94,25192.11,23092.22,-1.92,7.0,42.2,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.9%"
2026-02-24,96760.56,63740.7,33019.86,0.0,34.2,0,65.8,24977.04,25155.3,23107.78,-0.71,8.09,47.3,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.7%"
2026-02-25,97432.32,78399.18,19033.14,0.0,19.5,0,80.5,25329.04,25124.76,23124.56,0.81,9.53,53.2,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.8%"
2026-02-26,96859.09,78399.18,18459.91,0.0,23.3,0,76.7,25034.37,25075.34,23142.5,-0.16,8.17,48.3,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.2%"
2026-02-27,95912.58,71244.02,24668.55,0.0,25.5,0,74.5,24960.04,25029.13,23158.8,-0.28,7.78,47.2,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.3%"
2026-03-02,95550.41,75477.58,20072.83,0.0,20.7,0,79.3,24992.6,25001.14,23177.07,-0.03,7.83,47.8,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.0%"
2026-03-03,96377.47,59421.67,36955.79,0.0,38.4,0,61.6,24720.08,24950.21,23194.54,-0.92,6.58,43.4,STRONG UPTREND,MR Long 1 (SMA20 Pullback),"MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=-0.9%"
2026-03-04,96909.21,77886.96,19022.26,0.0,19.5,0,80.5,25093.68,24937.96,23212.4,0.62,8.1,50.1,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.6%"
2026-03-05,97057.31,77886.96,19170.35,0.0,19.5,0,80.5,25020.41,24944.42,23232.27,0.3,7.7,48.9,STRONG UPTREND,"Momentum Long, MR Long 1 (SMA20 Pullback)","Momentum Long: Momentum: holding above SMA20, reduced size; MR Long 1 (SMA20 Pullback): MR Long 1: pullback to SMA20, ext=0.3%"
2026-03-06,96178.18,88483.19,7694.99,0.0,8.0,0,92.0,24643.02,24949.14,23250.03,-1.23,5.99,43.0,STRONG UPTREND,MR Long 2 (Deep Pullback),"MR Long 2 (Deep Pullback): MR Long 2: recovering below middle BB, ext=-1.2%"
